Quarter,Period_End,Beginning_ACL,Provision,Net_CO,Ending_ACL,Avg_Loans,ACL_Coverage,Accession,Source
Q3 2023,2023-09-30,TBD,TBD,TBD,TBD,TBD,TBD,0001437749-23-030757,Parsing
Q4 2023,2023-12-31,TBD,TBD,TBD,TBD,TBD,TBD,0001437749-24-005626,Parsing
Q1 2024,2024-03-31,TBD,TBD,TBD,153404,TBD,TBD,0001437749-24-015024,Derived from Q2 begin
Q2 2024,2024-06-30,153404,5429,4271,154562,TBD,TBD,0001437749-24-025522,Extracted
Q3 2024,2024-09-30,154562,4872,TBD,163733,TBD,TBD,0001437749-24-034150,Extracted
Q4 2024,2024-12-31,163733,15275,17243,161765,TBD,TBD,0001437749-25-005749,Extracted - identity derived NCO
Q1 2025,2025-03-31,161765,13301,1130,173936,TBD,TBD,0001437749-25-015797,Extracted - identity derived NCO
Q2 2025,2025-06-30,173936,12336,11805,174467,19489400,0.90,0001437749-25-025772,Fully extracted
