Date,CATY,SP500,CATY_excess,SP500_excess
2020-10-19,0.03724321242419881,-0.0052873623147698945,0.03644247518419408,-0.006088099554774629
2020-10-26,-0.02888969002923092,-0.05639478895554584,-0.029690427269235653,-0.05719552619555057
2020-11-02,0.0033999255229830716,0.07323636476579076,0.0025991882829783375,0.07243562752578603
2020-11-09,0.16984310800897595,0.021573231684131056,0.16904237076897122,0.02077249444412632
2020-11-16,0.04091240279172914,-0.007701174018748924,0.04011166555172441,-0.008501911258753658
2020-11-23,0.05669559010917924,0.02271515083637543,0.055894852869174505,0.021914413596370697
2020-11-30,0.003291446436763712,0.016702631110292687,0.002490709196758978,0.015901893870287953
2020-12-07,0.000696919181872202,-0.00964017256003924,-0.00010381805813253209,-0.010440909800043974
2020-12-14,0.012918349715074218,0.012542774224865827,0.012117612475069484,0.011742036984861093
2020-12-21,0.030084776700722404,-0.001711823084015518,0.02928403946071767,-0.002512560324020252
2020-12-28,0.021904782230584452,0.014315190390337795,0.021104044990579718,0.013514453150333061
2021-01-04,0.08480906598080207,0.018266396002356355,0.08400832874079733,0.01746565876235162
2021-01-11,0.04782357861024211,-0.014754157903199783,0.04702284137023738,-0.015554895143204517
2021-01-18,0.006285713347063071,0.019430762476779773,0.005484976107058337,0.01863002523677504
2021-01-25,-0.08147748450373404,-0.03312012886709159,-0.08227822174373878,-0.033920866107096326
2021-02-01,0.06978146948369313,0.046467134149760225,0.06898073224368839,0.04566639690975549
2021-02-08,0.034272787089074885,0.012349395017328568,0.03347204984907015,0.011548657777323834
2021-02-15,0.031533974871571946,-0.0071464629041616545,0.030733237631567212,-0.007947200144166389
2021-02-22,-0.024870290381378557,-0.02446049477674006,-0.02567102762138329,-0.025261232016744795
2021-03-01,0.123376229356853,0.008078936764876365,0.12257549211684826,0.007278199524871631
2021-03-08,0.07079814951090202,0.026392954609087305,0.06999741227089729,0.02559221736908257
2021-03-15,-0.03584119535352692,-0.00766862344113739,-0.036641932593531656,-0.008469360681142124
2021-03-22,-0.03278671972786906,0.0157010911739901,-0.0335874569678738,0.014900353933985366
2021-03-29,-0.009787639930753489,0.01140511296388702,-0.010588377170758223,0.010604375723882287
2021-04-05,-0.002169742989385326,0.02709781269654865,-0.00297048022939006,0.026297075456543917
2021-04-12,-0.002899494781443024,0.013725637676089475,-0.003700232021447758,0.01292490043608474
2021-04-19,-0.0007267140068933919,-0.0012663554383812725,-0.001527451246898126,-0.0020670926783860066
2021-04-26,-0.018429010528200784,0.00023922472499671166,-0.01922974776820552,-0.0005615125150080225
2021-05-03,0.0419961737442649,0.0123004270915128,0.04119543650426016,0.011499689851508066
2021-05-10,0.02038860876804427,-0.013880356906983082,0.019587871528039535,-0.014681094146987816
2021-05-17,-0.02671880051107589,-0.004310225320526495,-0.027519537751080625,-0.005110962560531229
2021-05-24,-0.005013286870935052,0.011610112368395376,-0.005814024110939786,0.010809375128390641
2021-05-31,0.024305092286101226,0.006132159785514846,0.023504355046096492,0.005331422545510112
2021-06-07,-0.02596165246613713,0.0041489977565030145,-0.026762389706141865,0.0033482605164982804
2021-06-14,-0.07172287665617916,-0.019067896712139487,-0.07252361389618389,-0.01986863395214422
2021-06-21,0.06525696213249854,0.027421424628701452,0.06445622489249381,0.026620687388696718
2021-06-28,-0.04704734660346688,0.016735497738418426,-0.04784808384347161,0.01593476049841369
2021-07-05,-0.019285077431346553,0.00395418592190433,-0.020085814671351288,0.0031534486818995955
2021-07-12,-0.025956832131160956,-0.00970114779147857,-0.02675756937116569,-0.010501885031483305
2021-07-19,-0.0013458729453932339,0.01955783464364358,-0.002146610185397968,0.018757097403638845
2021-07-26,0.020754447005934207,-0.003746840464106227,0.019953709765929473,-0.004547577704110961
2021-08-02,0.0509638566489532,0.009387443770432657,0.050163119408948464,0.008586706530427923
2021-08-09,-0.008794047750036005,0.007095647113089409,-0.009594784990040739,0.006294909873084675
2021-08-16,-0.0068438406267740115,-0.005893034495299876,-0.007644577866778746,-0.00669377173530461
2021-08-23,0.02884115352530703,0.015242059068612868,0.028040416285302294,0.014441321828608134
2021-08-30,-0.005061731791723201,0.005779090630512185,-0.005862469031727935,0.004978353390507451
2021-09-06,0.010555112343579198,-0.016944389986780495,0.009754375103574464,-0.01774512722678523
2021-09-13,-0.010693738304687006,-0.005739460389093565,-0.01149447554469174,-0.006540197629098299
2021-09-20,0.029160298333191115,0.00507326768269345,0.02835956109318638,0.004272530442688716
2021-09-27,0.031509599360241,-0.02209412719567272,0.03070886212023627,-0.022894864435677453
2021-10-04,0.001894304327188845,0.007872272088387922,0.0010935670871841108,0.0070715348483831875
2021-10-11,-0.03167078769663123,0.01822456841991027,-0.032471524936635965,0.017423831179905536
2021-10-18,0.048816170448017004,0.016444575874765777,0.04801543320801227,0.015643838634761043
2021-10-25,-0.018152358315737693,0.013307219469797626,-0.018953095555742427,0.012506482229792892
2021-11-01,0.06352214723424887,0.020009185927887918,0.06272140999424414,0.019208448687883184
2021-11-08,-0.008468876551549043,-0.003124980185625681,-0.009269613791553777,-0.003925717425630415
2021-11-15,-0.002022910680487433,0.0032266382579302366,-0.002823647920492167,0.0024259010179255025
2021-11-22,-0.03153151300014101,-0.021996748505574315,-0.03233225024014574,-0.02279748574557905
2021-11-29,0.000928775566739759,-0.012229507548633944,0.0001280383267350249,-0.013030244788638679
2021-12-06,0.02715352683007577,0.03824887395565546,0.026352789590071035,0.037448136715650726
2021-12-13,-0.050820374307582905,-0.019392931785886303,-0.05162111154758764,-0.020193669025891037
